NAMESPACE                                               NAME                                                              READY   STATUS              RESTARTS   AGE     IP              NODE                            NOMINATED NODE   READINESS GATES
openshift-controller-manager                            controller-manager-dchb7                                          1/1     Running             0          11d     10.129.0.185    master-01.osepext01.claro.amx   <none>           <none>
openshift-controller-manager                            controller-manager-vh2r7                                          1/1     Running             0          11d     10.130.0.184    master-03.osepext01.claro.amx   <none>           <none>
openshift-controller-manager                            controller-manager-zdfsq                                          1/1     Running             0          11d     10.131.0.195    master-02.osepext01.claro.amx   <none>           <none>
openshift-dns-operator                                  dns-operator-5995b99c68-bjdvs                                     2/2     Running             0          104d    10.131.0.25     master-02.osepext01.claro.amx   <none>           <none>
openshift-dns                                           dns-default-29wlc                                                 2/2     Running             0          104d    10.130.2.3      worker-01.osepext01.claro.amx   <none>           <none>
openshift-dns                                           dns-default-9prnr                                                 2/2     Running             0          104d    10.131.2.4      worker-02.osepext01.claro.amx   <none>           <none>
openshift-dns                                           dns-default-df4qk                                                 2/2     Running             0          104d    10.128.2.4      infra-02.osepext01.claro.amx    <none>           <none>
openshift-dns                                           dns-default-hlrsd                                                 2/2     Running             0          104d    10.131.0.4      master-02.osepext01.claro.amx   <none>           <none>
openshift-dns                                           dns-default-kxmm5                                                 2/2     Running             0          104d    10.129.2.3      infra-03.osepext01.claro.amx    <none>           <none>
openshift-dns                                           dns-default-pvbmb                                                 2/2     Running             0          104d    10.129.0.5      master-01.osepext01.claro.amx   <none>           <none>
openshift-dns                                           dns-default-rtwc7                                                 2/2     Running             0          104d    10.128.0.2      infra-01.osepext01.claro.amx    <none>           <none>
openshift-dns                                           dns-default-s8pvx                                                 2/2     Running             0          104d    10.129.4.3      worker-04.osepext01.claro.amx   <none>           <none>
openshift-dns                                           dns-default-tdzjl                                                 2/2     Running             0          104d    10.128.4.2      worker-03.osepext01.claro.amx   <none>           <none>
openshift-dns                                           dns-default-z6tgn                                                 2/2     Running             0          104d    10.130.0.4      master-03.osepext01.claro.amx   <none>           <none>
openshift-etcd-operator                                 etcd-operator-dd8898d94-6j42s                                     1/1     Running             0          104d    10.129.0.12     master-01.osepext01.claro.amx   <none>           <none>
openshift-etcd                                          etcd-master-01.osepext01.claro.amx                                3/3     Running             0          104d    10.92.114.125   master-01.osepext01.claro.amx   <none>           <none>
openshift-etcd                                          etcd-master-02.osepext01.claro.amx                                3/3     Running             0          104d    10.92.114.126   master-02.osepext01.claro.amx   <none>           <none>
openshift-etcd                                          etcd-master-03.osepext01.claro.amx                                3/3     Running             0          104d    10.92.114.127   master-03.osepext01.claro.amx   <none>           <none>
openshift-etcd                                          revision-pruner-4-master-01.osepext01.claro.amx                   0/1     Completed           0          104d    10.129.0.72     master-01.osepext01.claro.amx   <none>           <none>
openshift-etcd                                          revision-pruner-4-master-02.osepext01.claro.amx                   0/1     Completed           0          104d    10.131.0.60     master-02.osepext01.claro.amx   <none>           <none>
openshift-etcd                                          revision-pruner-4-master-03.osepext01.claro.amx                   0/1     Completed           0          104d    10.130.0.41     master-03.osepext01.claro.amx   <none>           <none>
openshift-image-registry                                cluster-image-registry-operator-5846d46b6f-jm54v                  2/2     Running             10         104d    10.131.0.24     master-02.osepext01.claro.amx   <none>           <none>
openshift-image-registry                                image-registry-67d655946b-dzx7r                                   1/1     Running             0          9d      10.128.0.136    infra-01.osepext01.claro.amx    <none>           <none>
openshift-image-registry                                image-registry-67d655946b-hskb8                                   1/1     Running             0          69d     10.128.3.152    infra-02.osepext01.claro.amx    <none>           <none>
openshift-image-registry                                image-registry-67d655946b-xxbw8                                   1/1     Running             0          9d      10.129.3.180    infra-03.osepext01.claro.amx    <none>           <none>
openshift-image-registry                                node-ca-86jz9                                                     1/1     Running             0          104d    10.130.2.4      worker-01.osepext01.claro.amx   <none>           <none>
openshift-image-registry                                node-ca-fqxck                                                     1/1     Running             0          104d    10.129.2.2      infra-03.osepext01.claro.amx    <none>           <none>
openshift-image-registry                                node-ca-gr24v                                                     1/1     Running             0          104d    10.128.0.4      infra-01.osepext01.claro.amx    <none>           <none>
openshift-image-registry                                node-ca-grjpj                                                     1/1     Running             0          104d    10.131.0.8      master-02.osepext01.claro.amx   <none>           <none>
openshift-image-registry                                node-ca-l7xbd                                                     1/1     Running             0          104d    10.130.0.5      master-03.osepext01.claro.amx   <none>           <none>
openshift-image-registry                                node-ca-mjn28                                                     1/1     Running             0          104d    10.131.2.2      worker-02.osepext01.claro.amx   <none>           <none>
openshift-image-registry                                node-ca-nrlh6                                                     1/1     Running             0          104d    10.128.4.3      worker-03.osepext01.claro.amx   <none>           <none>
openshift-image-registry                                node-ca-p5dsj                                                     1/1     Running             0          104d    10.129.0.6      master-01.osepext01.claro.amx   <none>           <none>
openshift-image-registry                                node-ca-sw7x6                                                     1/1     Running             0          104d    10.129.4.4      worker-04.osepext01.claro.amx   <none>           <none>
openshift-image-registry                                node-ca-zjc89                                                     1/1     Running             0          104d    10.128.2.2      infra-02.osepext01.claro.amx    <none>           <none>
openshift-ingress-operator                              ingress-operator-6b48d895b6-dn4p4                                 2/2     Running             10         104d    10.131.0.18     master-02.osepext01.claro.amx   <none>           <none>
openshift-ingress                                       router-default-766ccf669c-6vrbn                                   1/1     Running             0          81d     10.92.114.129   infra-02.osepext01.claro.amx    <none>           <none>
openshift-ingress                                       router-default-766ccf669c-7q4vd                                   1/1     Running             0          81d     10.92.114.128   infra-01.osepext01.claro.amx    <none>           <none>
openshift-ingress                                       router-default-766ccf669c-rhzv8                                   1/1     Running             0          81d     10.92.114.130   infra-03.osepext01.claro.amx    <none>           <none>
openshift-ingress                                       router-testpci-6886b96884-rz5pz                                   1/1     Running             0          81d     10.92.114.134   worker-04.osepext01.claro.amx   <none>           <none>
openshift-insights                                      insights-operator-75f4f6c5f-sdrjc                                 1/1     Running             0          28d     10.130.0.155    master-03.osepext01.claro.amx   <none>           <none>
openshift-kube-apiserver-operator                       kube-apiserver-operator-67b58c6f5f-2n44n                          1/1     Running             1          104d    10.129.0.10     master-01.osepext01.claro.amx   <none>           <none>
openshift-kube-apiserver                                installer-80-master-01.osepext01.claro.amx                        0/1     Completed           0          56d     10.129.0.114    master-01.osepext01.claro.amx   <none>           <none>
openshift-kube-apiserver                                installer-83-master-01.osepext01.claro.amx                        0/1     Completed           0          43d     10.129.0.129    master-01.osepext01.claro.amx   <none>           <none>
